EGO,PSO,DE,GA
-9.582800802516454,-13.282113472740974,-20.085166489625614,-7.7242938233015055
-7.2858147786264675,-12.774037042961247,-16.913253709533606,-5.454441195093149
-7.7673251329322985,-11.339946903877108,-16.94252538013032,-7.585576029880545
-8.269459701443825,-12.882455560897913,-18.272519694867828,-6.04631484449636
-7.9237902997692995,-10.516466516422682,-17.972303555416637,-7.713439449330706
-9.654726558393405,-9.491751722097872,-18.900209719898307,-6.5202279793219216
-8.736936988587152,-13.900779172879872,-18.040394450301335,-8.000896315436643
-8.043835539290031,-9.313244527587965,-19.50797153771553,-6.753267597635937
-7.525952356709521,-12.018771952111798,-17.932622270230237,-6.461347492216096
-9.953241291935516,-11.616658128286709,-17.509976348958077,-6.861667022322476
-7.732041151387076,-14.271892314785553,-20.012598434659914,-6.589875207154819
-9.077197849213304,-11.853261223276904,-18.180111832681472,-6.2012822398962095
-9.284221964365612,-11.86767872290534,-16.596806931923584,-5.427669071712193
-8.962586599807674,-12.90655897663514,-17.216317707816632,-6.568433719203497
-9.345728842096936,-12.093929441320668,-19.033157266092065,-6.7091201146174635
-8.86074738859011,-11.010665135223963,-17.4760490146353,-8.141510594943368
-8.842586445273067,-12.883912527008423,-16.854688709031695,-7.543968305728124
-8.273220414035412,-12.152292362824587,-18.126978269154257,-5.748771559415614
-10.349209580771873,-12.777280347509528,-17.145698744408218,-6.941105876003083
-8.08608968625336,-14.896707473516715,-16.64302821601456,-7.088764154511553
-9.0634417029664,-11.347489082421298,-17.741416133433585,-6.678780430035921
-9.737727806096814,-15.04610046881977,-16.93046220554614,-6.518316050492346
-9.699104548196134,-12.840973940132196,-18.008565994986924,-7.673455427410481
-9.068701779235246,-11.504946926980976,-20.321668756745375,-6.401211149847765
-8.089253123813,-11.449940233032303,-19.453551351405544,-5.832787882359858
-10.320354249981676,-15.217463251869258,-15.016914424677712,-5.45605653856903
-8.400238376583909,-12.443936216506069,-17.054655789924453,-6.35949394542998
-8.741210269885459,-10.861401635853763,-17.38786670782548,-7.614683492017005
-7.94387169059551,-10.34914871857072,-19.797836321779492,-6.141401480252527
-7.817127536225511,-13.653895681365096,-17.419745577660404,-6.3418390644616816
