EGO,PSO,DE,GA
12451.319510591116,12466.983767447757,12451.378007176148,12459.051059283292
12451.333829611727,12482.753495532717,12451.378352571788,12459.36660717941
12451.304304561358,12474.868631490237,12451.382197973888,12462.645555469468
12451.352861955556,12474.868631490237,12451.388612916284,12453.021978288083
12451.326295264376,12482.753495532717,12451.352460694248,12459.543383981309
12451.32830543607,12482.753495532717,12451.362669769533,12462.664634626291
12451.303027049062,12482.753495532717,12451.33642974618,12463.117059425063
12451.34877706559,12482.753495532717,12451.375522709859,12454.810718068316
12451.321004830845,12482.753495532717,12451.371396016388,12461.697220111892
12451.340608578315,12474.868631490237,12451.410111968264,12471.988261498986
12451.326710571533,12476.26643642944,12451.353636557917,12462.12175744552
12451.327908178688,12466.983767447757,12451.371148068121,12464.154398957555
12451.355050207547,12474.868631490237,12451.417128616093,12460.205939815565
12451.290693302868,12466.983767447757,12451.365468704571,12455.185679033628
12451.308138660677,12482.753495532717,12451.346410916365,12458.060948713202
12451.324374787227,12490.638359575198,12451.361940296538,12465.252011160796
12451.337600358913,12474.868631490237,12451.364617941887,12455.468874099815
12451.310444547798,12474.868631490237,12451.345760429707,12453.753554622386
12451.336607257013,12466.983767447757,12451.381652854281,12468.798344559555
12451.340462199627,12482.753495532717,12451.363016560867,12461.007109657297
12451.353267685867,12474.868631490237,12451.379959440403,12462.09515626861
12451.337859479243,12466.983767447757,12451.344756674236,12459.249623138414
12451.345161368527,12482.753495532717,12451.347871817523,12465.796410719124
12451.302469476286,12474.868631490237,12451.355541133062,12456.084966366934
12451.316748117326,12474.868631490237,12451.333488978958,12456.110967701212
12451.328955548755,12466.983767447757,12451.40051252887,12463.843110289647
12451.350267343127,12459.098903405276,12451.395885822325,12466.38985682277
12451.33353999759,12466.983767447757,12451.365594206876,12459.159188470905
12451.307884804239,12474.868631490237,12451.351164695312,12464.359534714178
12451.357030788715,12466.983767447757,12451.368621805095,12456.097612978792
