EGO,PSO,DE,GA
0.0,13302.0,0.0,24013.0
0.0,36608.0,0.0,19591.0
0.0,51620.0,0.0,13155.0
0.0,34158.0,0.0,12583.0
0.0,21102.0,0.0,15274.0
0.0,32947.0,0.0,27470.0
0.0,43917.0,0.0,14989.0
0.0,45633.0,0.0,28740.0
0.0,42379.0,0.0,12528.0
0.0,30133.0,0.0,14184.0
0.0,30301.0,0.0,9569.0
0.0,34619.0,0.0,27659.0
0.0,34651.0,0.0,16812.0
0.0,64296.0,0.0,9494.0
0.0,3236.0,0.0,10922.0
0.0,61488.0,0.0,25903.0
0.0,41909.0,0.0,14773.0
0.0,31749.0,0.0,10774.0
0.0,39952.0,0.0,19297.0
0.0,23783.0,0.0,18282.0
0.0,35046.0,0.0,13228.0
0.0,51082.0,0.0,14943.0
0.0,26775.0,0.0,12257.0
0.0,13395.0,0.0,13463.0
0.0,49541.0,0.0,20848.0
0.0,32194.0,0.0,18933.0
0.0,21266.0,0.0,17205.0
0.0,24061.0,0.0,11733.0
0.0,34097.0,0.0,14735.0
0.0,20876.0,0.0,25354.0
